,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
0,1.5161799999999999,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0
1,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26
2,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0
3,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0
4,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0
5,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0
6,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19
7,1.5175100000000001,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0
8,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0
9,1.5178399999999999,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0
10,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22
11,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0
12,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0
13,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0
14,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3
15,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1
16,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16
17,1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0
18,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31
19,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11
20,1.5217200000000002,13.51,3.86,0.88,71.79,0.23,9.54,0.0,0.11
21,1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0
22,1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0.0,0.16
23,1.5184799999999998,13.64,3.87,1.27,71.96,0.54,8.32,0.0,0.32
24,1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0.0,0.0
25,1.51627,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0
26,1.5159200000000002,12.86,3.52,2.12,72.66,0.69,7.97,0.0,0.0
