,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,type
0,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,1
1,1.5176100000000001,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,1
2,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,1
3,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,1
4,1.5174299999999998,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1
5,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,1
6,1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,1
7,1.5157100000000001,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,1
8,1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,1
9,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,1
10,1.5176100000000001,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,1
11,1.5178399999999999,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,1
12,1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0,1
13,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,1
14,1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,1
15,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0,1
16,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,1
17,1.5176399999999999,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,1
18,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,1
19,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,1
20,1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0.0,0.14,1
21,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,1
22,1.5175299999999998,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,1
23,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,1
24,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0,1
25,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0,1
26,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1
27,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,1
28,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.0,0.0,1
29,1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0.0,0.0,1
30,1.519,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0,1
31,1.5186899999999999,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16,1
32,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,1
33,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,1
34,1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0.0,0.11,1
35,1.5180799999999999,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1
36,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.0,0.09,1
37,1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24,1
38,1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0.0,0.0,1
39,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0,1
40,1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0.0,0.0,1
41,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0,1
42,1.52227,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0,1
43,1.5217200000000002,13.48,3.74,0.9,72.01,0.18,9.61,0.0,0.07,1
44,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,1
45,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,1
46,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1
47,1.5157399999999999,14.86,3.67,1.74,71.87,0.16,7.36,0.0,0.12,2
48,1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0.0,0.0,2
49,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.0,0.0,2
